id,category,subcategory,name,address,borough,zip,license_id,license_status,lat,lon,source,source_url
ocm:OCM-CAURD-25-000245,cannabis,Adult-Use Conditional Retail Dispensary License,Good Daze Dispensary,"25306 Northern Blvd, Little Neck, NY, 11362",Queens,11362,OCM-CAURD-25-000245,Active,40.770799,-73.735033,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000003,cannabis,Adult-Use Retail Dispensary License,Rosedale Cannabis Dispensary LLC,"90-67 Sutphin Blvd., Jamaica, NY, 11435",Queens,11435,OCM-RETL-24-000003,Active,40.701228,-73.807561,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-25-000416,cannabis,Adult-Use Retail Dispensary License,ESH,"245-02 Merrick Blvd, Rosedale, NY, 11422",Queens,11422,OCM-RETL-25-000416,Active,40.673787,-73.728173,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000216,cannabis,Adult-Use Retail Dispensary License,Metro Leaf,"2742 Broadway, New York, NY, 10025",Manhattan,10025,OCM-RETL-24-000216,Active,40.800613,-73.967676,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000207,cannabis,Adult-Use Conditional Retail Dispensary License,R & R Remedies,"287 Harrison Pl, Brooklyn, NY, 11237",Brooklyn,11237,OCM-CAURD-24-000207,Active,40.706551,-73.931497,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-MICR-25-000249,cannabis,Adult-Use Microbusiness License,"Rustik 471, LLC","469 Dekalb Ave, Brooklyn, NY, 11205",Brooklyn,11205,OCM-MICR-25-000249,Active,40.690742,-73.958367,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-25-000296,cannabis,Adult-Use Conditional Retail Dispensary License,"Salt City Naturals, LLC","61 N 11th St, Brooklyn, NY, 11249",Brooklyn,11249,OCM-CAURD-25-000296,Active,40.722249,-73.95832,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-23-000041,cannabis,Adult-Use Conditional Retail Dispensary License,The Flowery,"3022 Veterans Rd W, Staten Island, NY, 10309",Staten Island,10309,OCM-CAURD-23-000041,Active,40.52826,-74.2359,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000064,cannabis,Adult-Use Retail Dispensary License,SANAT CARDS & GIFTS INC,"214 24 73rd Ave, OAKLAND GARDEN, NY, 11364",Queens,11364,OCM-RETL-24-000064,Active,40.74144,-73.754214,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000129,cannabis,Adult-Use Conditional Retail Dispensary License,Altocanna,"110 Chambers St, New York, NY, 10007",Manhattan,10007,OCM-CAURD-24-000129,Active,40.714889,-74.008328,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-26-000329,cannabis,Adult-Use Conditional Retail Dispensary License,HOLD UP ROLL UP BROOKLYN,"765 Washington Ave, Brooklyn, NY, 11238",Brooklyn,11238,OCM-CAURD-26-000329,Active,40.673963,-73.962738,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000120,cannabis,Adult-Use Retail Dispensary License,Seaweed RBNY,"7313 Beach Channel Dr, Arverne, NY, 11692",Queens,11692,OCM-RETL-24-000120,Active,40.59058,-73.80185,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-26-000513,cannabis,Adult-Use Retail Dispensary License,Sell Vapor Products Inc,"256 5th Ave, Brooklyn, NY, 11215",Brooklyn,11215,OCM-RETL-26-000513,Active,40.675062,-73.98174,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-25-000308,cannabis,Adult-Use Retail Dispensary License,Seneca Cannabis,"662 Seneca Ave, Ridgewood, NY, 11385",Queens,11385,OCM-RETL-25-000308,Active,40.703293,-73.908851,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-25-000292,cannabis,Adult-Use Conditional Retail Dispensary License,Celestial Herbs,"3430 Boston rd, Bronx, NY, 10467",Bronx,10467,OCM-CAURD-25-000292,Active,40.858037,-73.867875,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000147,cannabis,Adult-Use Retail Dispensary License,Sith Lord TD Inc.,"381 5th Ave, New York, NY, 10016",Manhattan,10016,OCM-RETL-24-000147,Active,40.749302,-73.983477,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-25-000239,cannabis,Adult-Use Conditional Retail Dispensary License,Sky High Club LLC,"129 Avenue C, New York, NY, 10009",Manhattan,10009,OCM-CAURD-25-000239,Active,40.724937,-73.978527,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-25-000351,cannabis,Adult-Use Retail Dispensary License,Studio57NY,"570 -574 Midland Ave, Staten Island, NY, 10306",Staten Island,10306,OCM-RETL-25-000351,Active,40.572236,-74.093353,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
